Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Origin of Challenge,Year
"Abbott, Karen","Liar, Temptress, Soldier, Spy: Four Women Undercover in the Civil War",Banned Pending Investigation,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned from Libraries and Classrooms,,,,,Florida,Bay District Schools,Feb-23,Formal Challenge,2022-2023
"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned from Libraries and Classrooms,,,,,Florida,Flagler Schools,Oct-22,Formal Challenge,2022-2023
"Acevedo, Elizabeth",Clap When You Land,Banned from Libraries,,,,,Utah,Nebo School District,AY 2022-2023,Formal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned from Libraries and Classrooms,,,,,Florida,School District of Hamilton County,Mar-23,Administration,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned from Libraries,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned from Classrooms,,,,,Texas,Keller Independent School District,Jan-23,Formal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned from Libraries,,,,,Texas,Lake Travis Independent School District,Mar-23,Informal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned from Libraries,,,,,Utah,Davis School District,Jan-23,Formal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,,,,Utah,Granite School District,Nov-22,Formal Challenge,2022-2023
"Acho, Emmanuel",Uncomfortable Conversations with a Black Boy,Banned from Libraries,,,,,Florida,Clay County School District,Sep-22,Formal Challenge,2022-2023
"Acho, Emmanuel",Uncomfortable Conversations with a Black Boy,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Aciman, André",Call Me By Your Name,Banned from Libraries and Classrooms,,,,Call Me By Your Name,Florida,St. John's County School District,Jan-23,Formal Challenge,2022-2023
"Adichie, Chimamanda Ngozi",Americanah,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,Sep-22,Formal Challenge,2022-2023
"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Banned from Libraries and Classrooms,,,,,Utah,Granite School District,Oct-22,Formal Challenge,2022-2023
"Adler, Dahlia",Cool for the Summer,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Aguirre, Ann",Public Enemies,Banned from Libraries,,,,The Immortal Game,Texas,Frisco Independent School District,Mar-23,Administration,2022-2023
"Ahdieh, Renée",The Beautiful,Banned from Libraries,,,,The Beautiful,Texas,Frisco Independent School District,Mar-23,Administration,2022-2023
"Ahdieh, Renée",The Damned,Banned from Libraries,,,,The Beautiful,Texas,Frisco Independent School District,Mar-23,Administration,2022-2023
"Ahmadi, Arvin",How It All Blew Up,Banned from Libraries,,,,,Missouri,Willard Public Schools,Sep-22,Formal Challenge,2022-2023
"Albertalli, Becky",Leah on the Offbeat,Banned from Libraries and Classrooms,,,,Simonverse,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Albertalli, Becky",Leah on the Offbeat,Banned Pending Investigation,,,,Simonverse,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Albertalli, Becky",Leah on the Offbeat,Banned Pending Investigation,,,,Simonverse,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda,Banned Pending Investigation,,,,Simonverse,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda,Banned from Libraries and Classrooms,,,,Simonverse,Michigan,Davison Community Schools,Aug-22,Informal Challenge,2022-2023
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda,Banned Pending Investigation,,,,Simonverse,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda,Banned from Libraries,,,,Simonverse,Utah,Canyons School District,AY 2022-2023,Formal Challenge,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned from Libraries,,,,Simonverse,Florida,Clay County School District,Sep-22,Formal Challenge,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned Pending Investigation,,,,Simonverse,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned from Libraries and Classrooms,,,,Simonverse,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned Pending Investigation,,,,Simonverse,North Dakota,Williston Basin School District #7,Sep-22,Informal Challenge,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned Pending Investigation,,,,Simonverse,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned Pending Investigation,,,,Simonverse,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Alexander, Pat",The Lion Children's Bible: Stories from the Old and New Testaments,Banned from Libraries and Classrooms,"Evans, Lyndon",,,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries,,"Forney, Ellen",,,Colorado,Greeley-Evans Weld County School District 6,Feb-23,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries,,"Forney, Ellen",,,Florida,Collier County Public Schools,Mar-23,Administration,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,,Florida,Flagler Schools,Oct-22,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,,Florida,Highlands Schools,Sep-22,Informal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries,,"Forney, Ellen",,,Florida,Lake County Schools,Fall 2022,Administration,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries and Classrooms,,"Forney, Ellen",,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,,Florida,Okaloosa County Schools District,Jan-23,Administration,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries and Classrooms,,"Forney, Ellen",,,Michigan,Chippewa Valley Schools,Jan-23,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries,,"Forney, Ellen",,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,,Pennsylvania,Pleasant Valley School District,Jul-22,Informal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries and Classrooms,,"Forney, Ellen",,,Texas,Frisco Independent School District,Sep-22,Informal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries and Classrooms,,"Forney, Ellen",,,Utah,Davis School District,Dec-22,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries and Classrooms,,"Forney, Ellen",,,Virginia,Madison County Public Schools,Jan-23,Administration,2022-2023
"Alko, Selina",I is for Immigrants,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Allen, John",Hitler's Final Solution,Banned Pending Investigation,,,,Understanding the Holocaust,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Allende, Isabel",The House of the Spirits,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Allende, Isabel",The House of the Spirits,Banned from Classrooms,,,,,Florida,Lake County Schools,Fall 2022,Administration,2022-2023
"Aller, Susan Bivin",Anne Hutchinson,Banned from Libraries and Classrooms,,,,History Maker Bios,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Allison, Anthony",Hear These Voices: Youth at the Edge of the Millennium,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Allison, John",Giant Days,Banned Pending Investigation,"Cogar, Whitney","Treiman, Lissa",,Giant Days,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Allison, John",Giant Days: Not On the Test Edition Vol. 1 - Fall Semester,Banned Pending Investigation,,"Treiman, Lissa; Sarin, Max",,Giant Days,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Allison, John",Giant Days: Not On the Test Edition Vol. 2 - Winter Semester,Banned Pending Investigation,,"Treiman, Lissa; Sarin, Max; Fleming, Liz",,Giant Days,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
